beta,gamma,reproduction_number,s0,i0,r0,max_infected,time_to_peak,final_removed,max_population_deviation
0.15,0.3,0.5,0.918,0.082,0.0,0.082,0.0,0.14708847293872312,1.1102230246251565e-15
0.15,0.3,0.5,0.9,0.1,0.0,0.1,0.0,0.17568204809428564,9.992007221626409e-16
0.24285714285714285,0.05,4.857142857142857,0.99,0.01,0.0,0.47079550301147866,31.6,0.916305359781676,5.551115123125783e-16
0.24285714285714285,0.05,4.857142857142857,0.972,0.028000000000000004,0.0,0.47457111226362314,26.0,0.9339653148580749,4.440892098500626e-16
0.24285714285714285,0.05,4.857142857142857,0.954,0.046000000000000006,0.0,0.47841733463880665,23.200000000000003,0.9412406182759787,8.881784197001252e-16
0.24285714285714285,0.05,4.857142857142857,0.9359999999999999,0.064,0.0,0.48233830716391063,21.400000000000002,0.9457419224563877,4.440892098500626e-16
0.24285714285714285,0.05,4.857142857142857,0.918,0.082,0.0,0.48633520452829204,19.8,0.9489776647935485,1.3322676295501878e-15
0.24285714285714285,0.05,4.857142857142857,0.9,0.1,0.0,0.49041496261713663,18.6,0.951497688966789,8.881784197001252e-16
0.24285714285714285,0.1,2.4285714285714284,0.99,0.01,0.0,0.22701095943496657,34.2,0.8560676308541552,8.881784197001252e-16
0.24285714285714285,0.1,2.4285714285714284,0.972,0.028000000000000004,0.0,0.23456529680693117,26.400000000000002,0.8713737970048288,1.2212453270876722e-15
0.24285714285714285,0.1,2.4285714285714284,0.954,0.046000000000000006,0.0,0.2422567092857046,22.6,0.8784501081307833,8.881784197001252e-16
0.24285714285714285,0.1,2.4285714285714284,0.9359999999999999,0.064,0.0,0.2501050029929355,19.8,0.8835950222701705,8.881784197001252e-16
0.24285714285714285,0.1,2.4285714285714284,0.918,0.082,0.0,0.2580986900706516,17.8,0.8878975492522567,5.551115123125783e-16
0.24285714285714285,0.1,2.4285714285714284,0.9,0.1,0.0,0.2662518703892358,16.0,0.8917289020542407,8.881784197001252e-16
0.24285714285714285,0.15000000000000002,1.6190476190476188,0.99,0.01,0.0,0.0909563881728305,39.0,0.6217128092847692,8.881784197001252e-16
0.24285714285714285,0.15000000000000002,1.6190476190476188,0.972,0.028000000000000004,0.0,0.10228949082236061,26.6,0.6580141849982465,1.1102230246251565e-15
0.24285714285714285,0.15000000000000002,1.6190476190476188,0.954,0.046000000000000006,0.0,0.11383467235303406,20.6,0.6768448841277711,1.3322676295501878e-15
0.24285714285714285,0.15000000000000002,1.6190476190476188,0.9359999999999999,0.064,0.0,0.12560034827557648,16.8,0.6915827929523963,8.881784197001252e-16
0.24285714285714285,0.15000000000000002,1.6190476190476188,0.918,0.082,0.0,0.13758992023566907,14.0,0.704399619236287,4.440892098500626e-16
0.24285714285714285,0.15000000000000002,1.6190476190476188,0.9,0.1,0.0,0.149821227314807,11.8,0.71603681283862,9.992007221626409e-16
0.24285714285714285,0.2,1.2142857142857142,0.99,0.01,0.0,0.02485427458509529,40.400000000000006,0.3050495521132233,1.1102230246251565e-15
0.24285714285714285,0.2,1.2142857142857142,0.972,0.028000000000000004,0.0,0.039965308973347984,19.200000000000003,0.3911842801787193,1.1102230246251565e-15
0.24285714285714285,0.2,1.2142857142857142,0.954,0.046000000000000006,0.0,0.05535899596474974,11.600000000000001,0.4358284585210336,8.881784197001252e-16
0.24285714285714285,0.2,1.2142857142857142,0.9359999999999999,0.064,0.0,0.07104506006290874,7.6000000000000005,0.4693632916993815,8.881784197001252e-16
0.24285714285714285,0.2,1.2142857142857142,0.918,0.082,0.0,0.08703688436229334,5.2,0.4973977584517135,5.551115123125783e-16
0.24285714285714285,0.2,1.2142857142857142,0.9,0.1,0.0,0.10334505810574751,3.6,0.5219715116186316,1.3322676295501878e-15
0.24285714285714285,0.25,0.9714285714285714,0.99,0.01,0.0,0.01,0.0,0.10180961935809232,5.551115123125783e-16
0.24285714285714285,0.25,0.9714285714285714,0.972,0.028000000000000004,0.0,0.028000000000000004,0.0,0.19470386904541534,9.992007221626409e-16
0.24285714285714285,0.25,0.9714285714285714,0.954,0.046000000000000006,0.0,0.046000000000000006,0.0,0.2546590866880823,1.3322676295501878e-15
0.24285714285714285,0.25,0.9714285714285714,0.9359999999999999,0.064,0.0,0.064,0.0,0.3012262430874077,4.440892098500626e-16
0.24285714285714285,0.25,0.9714285714285714,0.918,0.082,0.0,0.082,0.0,0.34022463426631155,7.771561172376096e-16
0.24285714285714285,0.25,0.9714285714285714,0.9,0.1,0.0,0.1,0.0,0.37421663660737997,6.661338147750939e-16
0.24285714285714285,0.3,0.8095238095238095,0.99,0.01,0.0,0.01,0.0,0.04661454641969598,8.881784197001252e-16
0.24285714285714285,0.3,0.8095238095238095,0.972,0.028000000000000004,0.0,0.028000000000000004,0.0,0.11274263703720327,6.661338147750939e-16
0.24285714285714285,0.3,0.8095238095238095,0.954,0.046000000000000006,0.0,0.046000000000000006,0.0,0.16579206262059376,8.881784197001252e-16
0.24285714285714285,0.3,0.8095238095238095,0.9359999999999999,0.064,0.0,0.064,0.0,0.21086800671031974,4.440892098500626e-16
0.24285714285714285,0.3,0.8095238095238095,0.918,0.082,0.0,0.082,0.0,0.25046350301897263,1.5543122344752192e-15
0.24285714285714285,0.3,0.8095238095238095,0.9,0.1,0.0,0.1,0.0,0.28600669129276185,4.440892098500626e-16
0.33571428571428574,0.05,6.714285714285714,0.99,0.01,0.0,0.5689447956674667,22.8,0.9535071482461978,6.661338147750939e-16
0.33571428571428574,0.05,6.714285714285714,0.972,0.028000000000000004,0.0,0.5716643236652958,19.0,0.961064377740358,6.661338147750939e-16
0.33571428571428574,0.05,6.714285714285714,0.954,0.046000000000000006,0.0,0.5744612169524387,17.2,0.964308539904707,6.661338147750939e-16
0.33571428571428574,0.05,6.714285714285714,0.9359999999999999,0.064,0.0,0.5772883734967299,16.0,0.9663475071309358,8.881784197001252e-16
0.33571428571428574,0.05,6.714285714285714,0.918,0.082,0.0,0.5801858313535992,15.0,0.9678233912310443,5.551115123125783e-16
0.33571428571428574,0.05,6.714285714285714,0.9,0.1,0.0,0.5831333919872861,14.200000000000001,0.9689755887091761,1.3322676295501878e-15
0.33571428571428574,0.1,3.357142857142857,0.99,0.01,0.0,0.34435461505034254,23.400000000000002,0.9547776700068012,5.551115123125783e-16
0.33571428571428574,0.1,3.357142857142857,0.972,0.028000000000000004,0.0,0.34982313562016554,18.8,0.9575708594060611,8.881784197001252e-16
0.33571428571428574,0.1,3.357142857142857,0.954,0.046000000000000006,0.0,0.3553788610525406,16.6,0.9591318290735824,6.661338147750939e-16
0.33571428571428574,0.1,3.357142857142857,0.9359999999999999,0.064,0.0,0.361052498332256,15.0,0.9603824009137268,6.661338147750939e-16
0.33571428571428574,0.1,3.357142857142857,0.918,0.082,0.0,0.36683802744904437,13.600000000000001,0.9614935249294719,9.992007221626409e-16
0.33571428571428574,0.1,3.357142857142857,0.9,0.1,0.0,0.3727420569238875,12.600000000000001,0.9625254165865891,6.661338147750939e-16
0.33571428571428574,0.15000000000000002,2.238095238095238,0.99,0.01,0.0,0.19771405576296427,25.200000000000003,0.8503556992632858,1.1102230246251565e-15
0.33571428571428574,0.15000000000000002,2.238095238095238,0.972,0.028000000000000004,0.0,0.2059129608241525,19.200000000000003,0.8557609787913547,6.661338147750939e-16
0.33571428571428574,0.15000000000000002,2.238095238095238,0.954,0.046000000000000006,0.0,0.21426502504486283,16.2,0.8600891135251496,4.440892098500626e-16
0.33571428571428574,0.15000000000000002,2.238095238095238,0.9359999999999999,0.064,0.0,0.22276659146675606,14.200000000000001,0.8641136061763978,8.881784197001252e-16
0.33571428571428574,0.15000000000000002,2.238095238095238,0.918,0.082,0.0,0.2314443494168581,12.600000000000001,0.8679684382420975,4.440892098500626e-16
0.33571428571428574,0.15000000000000002,2.238095238095238,0.9,0.1,0.0,0.24029830635394503,11.200000000000001,0.8717011467241711,1.5543122344752192e-15
0.33571428571428574,0.2,1.6785714285714286,0.99,0.01,0.0,0.10168109186401597,27.8,0.6836231102053043,8.881784197001252e-16
0.33571428571428574,0.2,1.6785714285714286,0.972,0.028000000000000004,0.0,0.11261046207655206,19.400000000000002,0.6979825616149211,8.881784197001252e-16
0.33571428571428574,0.2,1.6785714285714286,0.954,0.046000000000000006,0.0,0.1237449288645883,15.200000000000001,0.7096499533331374,6.661338147750939e-16
